target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2
codec,firefox,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,38.75,0.0,38.75,38.75
codec,firefox,MPV,*,Windows-10-10.0.19044-SP0,*,400,31.25,0.0,31.25,31.25
codec,firefox,VLC,*,Windows-10-10.0.19044-SP0,*,400,55.0,1.25,56.25,53.75
codec,CHROME,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,58.125,0.6250000000000036,58.75,57.49999999999999
codec,CHROME,MPV,*,Windows-10-10.0.19044-SP0,*,400,56.875,1.8749999999999964,55.00000000000001,58.75
codec,CHROME,VLC,*,Windows-10-10.0.19044-SP0,*,400,53.125,1.875000000000007,51.24999999999999,55.00000000000001
codec,EDGE,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,38.75,3.75,42.5,35.0
codec,EDGE,MPV,*,Windows-10-10.0.19044-SP0,*,400,41.875,3.125,45.0,38.75
codec,EDGE,VLC,*,Windows-10-10.0.19044-SP0,*,400,58.75,4.9999999999999964,63.74999999999999,53.75
codec,CHROME,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,48.125,4.375,43.75,52.5
codec,CHROME,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,47.5,3.7499999999999964,43.75,51.24999999999999
codec,CHROME,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,68.125,3.125,65.0,71.25
codec,EDGE,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,42.5,6.25,48.75,36.25
codec,EDGE,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,43.125,3.125,40.0,46.25
codec,EDGE,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,65.0,1.2500000000000036,66.25,63.74999999999999
codec,FIREFOX,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,32.5,1.25,31.25,33.75
codec,FIREFOX,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,35.0,1.25,33.75,36.25
codec,FIREFOX,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,50.625,1.875,48.75,52.5
codec,CHROME,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,51.25,2.5,48.75,53.75
codec,CHROME,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,43.125,0.625,42.5,43.75
codec,CHROME,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,65.0,1.2500000000000036,66.25,63.74999999999999
codec,FIREFOX,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,33.125,4.375000000000002,37.5,28.749999999999996
codec,FIREFOX,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,28.75,1.2499999999999982,27.500000000000004,30.0
codec,FIREFOX,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,34.375,3.125,37.5,31.25
codec,SAFARI,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,47.5,2.5,50.0,45.0
codec,SAFARI,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,55.625,3.125,52.5,58.75
codec,SAFARI,VLC,*,macOS-13.0-arm64-arm-64bit,*,400,80.0,1.25,81.25,78.75
browser,*,MPLAYER,sample.3gp,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.3gp,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.3gp,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.flv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.flv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.flv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.mkv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.mkv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.mkv,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.mp4,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.mp4,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.mp4,Windows-10-10.0.19044-SP0,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,99.16666666666666,0.8333333333333357,100.0,98.33333333333333
browser,*,MPLAYER,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,99.16666666666666,0.8333333333333357,100.0,98.33333333333333
browser,*,VLC,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,98.33333333333334,1.6666666666666643,96.66666666666667,100.0
browser,*,VLC,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,99.16666666666666,0.8333333333333357,100.0,98.33333333333333
browser,*,MPLAYER,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,97.5,0.8333333333333286,96.66666666666667,98.33333333333333
browser,*,MPV,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPLAYER,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,MPV,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
browser,*,VLC,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
player,firefox,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,71.66666666666666,3.3333333333333357,75.0,68.33333333333333
player,CHROME,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,54.16666666666667,5.833333333333332,48.333333333333336,60.0
player,EDGE,*,sample.3gp,Windows-10-10.0.19044-SP0,*,300,76.66666666666666,3.3333333333333357,73.33333333333333,80.0
player,firefox,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,75.0,1.6666666666666714,73.33333333333333,76.66666666666667
player,CHROME,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,71.66666666666666,1.6666666666666643,73.33333333333333,70.0
player,EDGE,*,sample.flv,Windows-10-10.0.19044-SP0,*,300,81.66666666666667,0.0,81.66666666666667,81.66666666666667
player,firefox,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,73.33333333333334,1.6666666666666643,71.66666666666667,75.0
player,CHROME,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,56.66666666666667,5.0,61.66666666666667,51.66666666666667
player,EDGE,*,sample.mkv,Windows-10-10.0.19044-SP0,*,300,75.83333333333334,0.8333333333333357,76.66666666666667,75.0
player,firefox,*,sample.mp4,Windows-10-10.0.19044-SP0,*,300,63.33333333333333,3.3333333333333286,60.0,66.66666666666666
player,CHROME,*,sample.mp4,Windows-10-10.0.19044-SP0,*,300,69.16666666666666,2.500000000000007,71.66666666666667,66.66666666666666
player,EDGE,*,sample.mp4,Windows-10-10.0.19044-SP0,*,300,76.66666666666667,6.666666666666671,70.0,83.33333333333334
player,CHROME,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,92.5,4.166666666666671,96.66666666666667,88.33333333333333
player,EDGE,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,89.16666666666666,0.8333333333333357,88.33333333333333,90.0
player,FIREFOX,*,sample.3gp,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,79.16666666666667,2.5,76.66666666666667,81.66666666666667
player,CHROME,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,93.33333333333334,3.3333333333333357,96.66666666666667,90.0
player,EDGE,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,93.33333333333334,3.3333333333333357,90.0,96.66666666666667
player,FIREFOX,*,sample.flv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,84.16666666666667,2.5,81.66666666666667,86.66666666666667
player,CHROME,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,92.5,0.8333333333333357,93.33333333333333,91.66666666666666
player,EDGE,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,91.66666666666666,1.6666666666666643,90.0,93.33333333333333
player,FIREFOX,*,sample.mkv,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,81.66666666666667,0.0,81.66666666666667,81.66666666666667
player,CHROME,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,91.66666666666666,0.0,91.66666666666666,91.66666666666666
player,EDGE,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,89.16666666666666,2.499999999999993,86.66666666666667,91.66666666666666
player,FIREFOX,*,sample.mp4,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,300,75.0,5.0,80.0,70.0
player,CHROME,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,98.33333333333333,0.0,98.33333333333333,98.33333333333333
player,FIREFOX,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,80.83333333333334,2.500000000000007,83.33333333333334,78.33333333333333
player,SAFARI,*,sample.3gp,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
player,CHROME,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,98.33333333333334,1.6666666666666643,100.0,96.66666666666667
player,FIREFOX,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,80.0,0.0,80.0,80.0
player,SAFARI,*,sample.flv,macOS-13.0-arm64-arm-64bit,*,300,96.66666666666666,1.6666666666666643,98.33333333333333,95.0
player,CHROME,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,97.5,0.8333333333333286,96.66666666666667,98.33333333333333
player,FIREFOX,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,84.16666666666666,4.166666666666664,88.33333333333333,80.0
player,SAFARI,*,sample.mkv,macOS-13.0-arm64-arm-64bit,*,300,100.0,0.0,100.0,100.0
player,CHROME,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,99.16666666666666,0.8333333333333357,98.33333333333333,100.0
player,FIREFOX,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,85.83333333333334,2.499999999999993,83.33333333333334,88.33333333333333
player,SAFARI,*,sample.mp4,macOS-13.0-arm64-arm-64bit,*,300,96.66666666666667,0.0,96.66666666666667,96.66666666666667
