target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,firefox,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,36.0,5.385164807134504,40.0,32.5,41.25,41.25,36.25,23.75,40.0,32.5,32.5,40.0
codec,firefox,MPV,*,Windows-10-10.0.19044-SP0,*,400,32.375,4.125,33.75,35.0,35.0,36.25,33.75,37.5,23.75,32.5,27.500000000000004,28.749999999999996
codec,firefox,VLC,*,Windows-10-10.0.19044-SP0,*,400,50.375,3.7102055199139583,50.0,48.75,43.75,50.0,51.24999999999999,51.24999999999999,56.25,55.00000000000001,52.5,45.0
codec,CHROME,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,59.75,5.471517157059822,58.75,51.24999999999999,55.00000000000001,65.0,57.49999999999999,60.0,63.74999999999999,71.25,60.0,55.00000000000001
codec,CHROME,MPV,*,Windows-10-10.0.19044-SP0,*,400,63.75,3.535533905932736,58.75,61.25000000000001,70.0,63.74999999999999,61.25000000000001,67.5,62.5,61.25000000000001,62.5,68.75
codec,CHROME,VLC,*,Windows-10-10.0.19044-SP0,*,400,57.875,4.810470351223465,60.0,62.5,61.25000000000001,52.5,63.74999999999999,50.0,51.24999999999999,58.75,56.25,62.5
codec,EDGE,MPLAYER,*,Windows-10-10.0.19044-SP0,*,400,35.375,4.745063224025578,28.749999999999996,32.5,32.5,37.5,33.75,41.25,30.0,33.75,40.0,43.75
codec,EDGE,MPV,*,Windows-10-10.0.19044-SP0,*,400,38.375,6.175809663517812,40.0,27.500000000000004,36.25,46.25,38.75,46.25,45.0,31.25,40.0,32.5
codec,EDGE,VLC,*,Windows-10-10.0.19044-SP0,*,400,54.5,3.1224989991991987,57.49999999999999,55.00000000000001,56.25,55.00000000000001,50.0,55.00000000000001,53.75,53.75,60.0,48.75
codec,CHROME,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,51.75,5.482928049865328,61.25000000000001,57.49999999999999,45.0,51.24999999999999,46.25,56.25,46.25,51.24999999999999,56.25,46.25
codec,CHROME,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,49.375,4.410569691094338,50.0,48.75,47.5,50.0,58.75,48.75,45.0,42.5,55.00000000000001,47.5
codec,CHROME,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,66.375,4.887803699004288,56.25,60.0,71.25,70.0,66.25,68.75,70.0,67.5,62.5,71.25
codec,EDGE,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,45.875,3.261997087674971,50.0,41.25,42.5,46.25,50.0,51.24999999999999,45.0,43.75,43.75,45.0
codec,EDGE,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,49.5,3.9210967853395324,42.5,48.75,55.00000000000001,47.5,53.75,51.24999999999999,47.5,46.25,47.5,55.00000000000001
codec,EDGE,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,73.625,2.5279685520195856,71.25,78.75,72.5,71.25,72.5,75.0,70.0,73.75,76.25,75.0
codec,FIREFOX,MPLAYER,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,31.75,4.815340071064555,32.5,32.5,23.75,31.25,38.75,40.0,32.5,32.5,26.25,27.500000000000004
codec,FIREFOX,MPV,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,31.125,4.382137035739526,26.25,37.5,37.5,27.500000000000004,30.0,32.5,30.0,28.749999999999996,25.0,36.25
codec,FIREFOX,VLC,*,Linux-5.15.0-56-generic-x86_64-with-glibc2.35,*,400,50.625,3.7604022391228296,47.5,48.75,46.25,53.75,47.5,47.5,57.49999999999999,51.24999999999999,50.0,56.25
codec,CHROME,MPLAYER,*,macOS-13.0-arm64-arm-64bit,*,400,57.875,3.16474722529304,57.49999999999999,63.74999999999999,60.0,57.49999999999999,57.49999999999999,56.25,56.25,53.75,53.75,62.5
codec,CHROME,MPV,*,macOS-13.0-arm64-arm-64bit,*,400,48.375,7.847173057859754,57.49999999999999,50.0,55.00000000000001,56.25,31.25,45.0,52.5,41.25,52.5,42.5
